 CST6CDT, 2022-10-05 22:42:27.210427-05
 posix/Asia/Phnom_Penh, 2022-10-06 10:42:27.323857+07
 posix/Asia/Dubai, 2022-10-06 07:42:27.324084+04
 posix/Asia/Srednekolymsk, 2022-10-06 14:42:27.324327+11
 posix/Asia/Tehran, 2022-10-06 07:12:27.324551+03:30
 posix/Asia/Novosibirsk, 2022-10-06 10:42:27.324771+07
 posix/Asia/Ust-Nera, 2022-10-06 13:42:27.324992+10
 posix/Asia/Tashkent, 2022-10-06 08:42:27.325222+05
 posix/Asia/Vladivostok, 2022-10-06 13:42:27.325482+10
 posix/Asia/Kamchatka, 2022-10-06 15:42:27.325705+12
 posix/Asia/Jerusalem, 2022-10-06 06:42:27.325969+03
 posix/Asia/Famagusta, 2022-10-06 06:42:27.326241+03
 posix/Asia/Vientiane, 2022-10-06 10:42:27.326463+07
 posix/Asia/Chungking, 2022-10-06 11:42:27.326684+08
 posix/Asia/Damascus, 2022-10-06 06:42:27.326941+03
 posix/Asia/Aqtau, 2022-10-06 08:42:27.327182+05
 posix/Asia/Amman, 2022-10-06 06:42:27.327438+03
 posix/Asia/Magadan, 2022-10-06 14:42:27.327658+11
 posix/Asia/Pyongyang, 2022-10-06 12:42:27.327878+09
 posix/Asia/Kathmandu, 2022-10-06 09:27:27.3281+05:45
 posix/Asia/Gaza, 2022-10-06 06:42:27.328367+03
 posix/Asia/Yakutsk, 2022-10-06 12:42:27.328587+09
 posix/Asia/Jayapura, 2022-10-06 12:42:27.328808+09
 posix/Asia/Kuching, 2022-10-06 11:42:27.32903+08
 posix/Asia/Jakarta, 2022-10-06 10:42:27.329277+07
 posix/Asia/Colombo, 2022-10-06 09:12:27.329496+05:30
 posix/Asia/Aden, 2022-10-06 06:42:27.329745+03
 posix/Asia/Qostanay, 2022-10-06 09:42:27.329965+06
 posix/Asia/Istanbul, 2022-10-06 06:42:27.330192+03
 posix/Asia/Nicosia, 2022-10-06 06:42:27.330444+03
 posix/Asia/Oral, 2022-10-06 08:42:27.330666+05
 posix/Asia/Urumqi, 2022-10-06 09:42:27.330887+06
 posix/Asia/Chita, 2022-10-06 12:42:27.331125+09
 posix/Asia/Barnaul, 2022-10-06 10:42:27.331349+07
 posix/Asia/Macao, 2022-10-06 11:42:27.33157+08
 posix/Asia/Kabul, 2022-10-06 08:12:27.331787+04:30
 posix/Asia/Rangoon, 2022-10-06 10:12:27.332008+06:30
 posix/Asia/Manila, 2022-10-06 11:42:27.332271+08
 posix/Asia/Karachi, 2022-10-06 08:42:27.332493+05
 posix/Asia/Bahrain, 2022-10-06 06:42:27.332714+03
 posix/Asia/Hovd, 2022-10-06 10:42:27.332934+07
 posix/Asia/Samarkand, 2022-10-06 08:42:27.333176+05
 posix/Asia/Yerevan, 2022-10-06 07:42:27.3334+04
 posix/Asia/Yekaterinburg, 2022-10-06 08:42:27.333709+05
 posix/Asia/Khandyga, 2022-10-06 12:42:27.333949+09
 posix/Asia/Calcutta, 2022-10-06 09:12:27.334195+05:30
 posix/Asia/Tokyo, 2022-10-06 12:42:27.334427+09
 posix/Asia/Almaty, 2022-10-06 09:42:27.334657+06
 posix/Asia/Anadyr, 2022-10-06 15:42:27.334881+12
 posix/Asia/Novokuznetsk, 2022-10-06 10:42:27.335117+07
 posix/Asia/Thimbu, 2022-10-06 09:42:27.335336+06
 posix/Asia/Macau, 2022-10-06 11:42:27.33559+08
 posix/Asia/Ulan_Bator, 2022-10-06 11:42:27.335821+08
 posix/Asia/Bangkok, 2022-10-06 10:42:27.336103+07
 posix/Asia/Thimphu, 2022-10-06 09:42:27.336346+06
 posix/Asia/Tomsk, 2022-10-06 10:42:27.336631+07
 posix/Asia/Kolkata, 2022-10-06 09:12:27.336944+05:30
 posix/Asia/Hebron, 2022-10-06 06:42:27.337262+03
 posix/Asia/Dhaka, 2022-10-06 09:42:27.337499+06
 posix/Asia/Aqtobe, 2022-10-06 08:42:27.337727+05
 posix/Asia/Bishkek, 2022-10-06 09:42:27.337949+06
 posix/Asia/Ashkhabad, 2022-10-06 08:42:27.338215+05
 posix/Asia/Kuwait, 2022-10-06 06:42:27.338432+03
 posix/Asia/Ujung_Pandang, 2022-10-06 11:42:27.338653+08
 posix/Asia/Irkutsk, 2022-10-06 11:42:27.338876+08
 posix/Asia/Makassar, 2022-10-06 11:42:27.339098+08
 posix/Asia/Qatar, 2022-10-06 06:42:27.339348+03
 posix/Asia/Sakhalin, 2022-10-06 14:42:27.339571+11
 posix/Asia/Seoul, 2022-10-06 12:42:27.339797+09
 posix/Asia/Omsk, 2022-10-06 09:42:27.34002+06
 posix/Asia/Baku, 2022-10-06 07:42:27.340263+04
 posix/Asia/Brunei, 2022-10-06 11:42:27.340494+08
 posix/Asia/Atyrau, 2022-10-06 08:42:27.340724+05
 posix/Asia/Ulaanbaatar, 2022-10-06 11:42:27.340954+08
 posix/Asia/Singapore, 2022-10-06 11:42:27.341189+08
 posix/Asia/Yangon, 2022-10-06 10:12:27.341411+06:30
 posix/Asia/Baghdad, 2022-10-06 06:42:27.341633+03
 posix/Asia/Kashgar, 2022-10-06 09:42:27.341854+06
 posix/Asia/Qyzylorda, 2022-10-06 08:42:27.342077+05
 posix/Asia/Choibalsan, 2022-10-06 11:42:27.342316+08
 posix/Asia/Riyadh, 2022-10-06 06:42:27.342529+03
 posix/Asia/Kuala_Lumpur, 2022-10-06 11:42:27.342754+08
 posix/Asia/Muscat, 2022-10-06 07:42:27.342974+04
 posix/Asia/Dili, 2022-10-06 12:42:27.343211+09
 posix/Pacific/Noumea, 2022-10-06 14:42:27.343442+11
 posix/Pacific/Samoa, 2022-10-05 16:42:27.343896-11
 posix/Pacific/Johnston, 2022-10-05 17:42:27.344137-10
 posix/Pacific/Efate, 2022-10-06 14:42:27.34436+11
 posix/Pacific/Pohnpei, 2022-10-06 14:42:27.344577+11
 posix/Pacific/Palau, 2022-10-06 12:42:27.344797+09
 posix/Pacific/Guadalcanal, 2022-10-06 14:42:27.345015+11
 posix/Pacific/Majuro, 2022-10-06 15:42:27.345244+12
 posix/Pacific/Nauru, 2022-10-06 15:42:27.345458+12
 posix/Pacific/Kiritimati, 2022-10-06 17:42:27.345673+14
 posix/Pacific/Tarawa, 2022-10-06 15:42:27.345918+12
 posix/Pacific/Rarotonga, 2022-10-05 17:42:27.346139-10
 posix/Pacific/Bougainville, 2022-10-06 14:42:27.346371+11
 posix/Pacific/Gambier, 2022-10-05 18:42:27.346601-09
 posix/Pacific/Kwajalein, 2022-10-06 15:42:27.346824+12
 posix/Pacific/Fakaofo, 2022-10-06 16:42:27.347062+13
 posix/Pacific/Easter, 2022-10-05 22:42:27.347308-05
 posix/Pacific/Midway, 2022-10-05 16:42:27.34752-11
 posix/Pacific/Enderbury, 2022-10-06 16:42:27.347732+13
 posix/Pacific/Kanton, 2022-10-06 16:42:27.347944+13
 posix/Pacific/Niue, 2022-10-05 16:42:27.348167-11
 posix/Pacific/Truk, 2022-10-06 13:42:27.348375+10
 posix/Pacific/Apia, 2022-10-06 16:42:27.348587+13
 posix/Pacific/Wallis, 2022-10-06 15:42:27.3488+12
 posix/Pacific/Saipan, 2022-10-06 13:42:27.349013+10
 posix/Pacific/Auckland, 2022-10-06 16:42:27.349287+13
 posix/Pacific/Norfolk, 2022-10-06 15:42:27.349535+12
 posix/Pacific/Marquesas, 2022-10-05 18:12:27.349751-09:30
 posix/Pacific/Tongatapu, 2022-10-06 16:42:27.349964+13
 posix/Pacific/Chuuk, 2022-10-06 13:42:27.350186+10
 posix/Pacific/Yap, 2022-10-06 13:42:27.350399+10
 posix/Pacific/Chatham, 2022-10-06 17:27:27.350645+13:45
 posix/Pacific/Ponape, 2022-10-06 14:42:27.350865+11
 posix/Pacific/Fiji, 2022-10-06 15:42:27.351123+12
 posix/Pacific/Pitcairn, 2022-10-05 19:42:27.351334-08
 posix/Pacific/Wake, 2022-10-06 15:42:27.351543+12
 posix/Pacific/Guam, 2022-10-06 13:42:27.351752+10
 posix/Pacific/Galapagos, 2022-10-05 21:42:27.351959-06
 posix/Pacific/Port_Moresby, 2022-10-06 13:42:27.352186+10
 posix/Pacific/Funafuti, 2022-10-06 15:42:27.352396+12
 posix/Pacific/Tahiti, 2022-10-05 17:42:27.352654-10
 posix/Pacific/Honolulu, 2022-10-05 17:42:27.353068-10
 posix/Pacific/Pago_Pago, 2022-10-05 16:42:27.353371-11
 posix/Pacific/Kosrae, 2022-10-06 14:42:27.353998+11
 posix/Factory, 2022-10-06 03:42:27.354225+00
 posix/Australia/South, 2022-10-06 14:12:27.354493+10:30
 posix/Australia/Adelaide, 2022-10-06 14:12:27.35474+10:30
 posix/Australia/Broken_Hill, 2022-10-06 14:12:27.354995+10:30
 posix/Australia/NSW, 2022-10-06 14:42:27.355236+11
 posix/Australia/Currie, 2022-10-06 14:42:27.355477+11
 posix/Australia/Hobart, 2022-10-06 14:42:27.355714+11
 posix/Australia/Melbourne, 2022-10-06 14:42:27.35598+11
 posix/Australia/Darwin, 2022-10-06 13:12:27.356192+09:30
 posix/Australia/West, 2022-10-06 11:42:27.356438+08
 posix/Australia/Sydney, 2022-10-06 14:42:27.356679+11
 posix/Australia/Lord_Howe, 2022-10-06 14:42:27.356925+11
 posix/Australia/ACT, 2022-10-06 14:42:27.357163+11
 posix/Australia/Eucla, 2022-10-06 12:27:27.35737+08:45
 posix/Australia/Yancowinna, 2022-10-06 14:12:27.357606+10:30
 posix/Australia/Victoria, 2022-10-06 14:42:27.357845+11
 posix/Australia/LHI, 2022-10-06 14:42:27.358106+11
 posix/Australia/Canberra, 2022-10-06 14:42:27.358347+11
 posix/Australia/North, 2022-10-06 13:12:27.358552+09:30
 posix/Australia/Perth, 2022-10-06 11:42:27.358758+08
 posix/Australia/Tasmania, 2022-10-06 14:42:27.359003+11
 posix/Australia/Brisbane, 2022-10-06 13:42:27.359211+10
 posix/Australia/Queensland, 2022-10-06 13:42:27.359417+10
 posix/Australia/Lindeman, 2022-10-06 13:42:27.359622+10
 posix/Libya, 2022-10-06 05:42:27.359825+02
 posix/Africa/Dar_es_Salaam, 2022-10-06 06:42:27.360048+03
 posix/Africa/Lusaka, 2022-10-06 05:42:27.360261+02
 posix/Africa/Bujumbura, 2022-10-06 05:42:27.360474+02
 posix/Africa/Gaborone, 2022-10-06 05:42:27.360684+02
 posix/Africa/Timbuktu, 2022-10-06 03:42:27.360898+00
 posix/Africa/El_Aaiun, 2022-10-06 04:42:27.361133+01
 posix/Africa/Libreville, 2022-10-06 04:42:27.361361+01
 posix/Africa/Banjul, 2022-10-06 03:42:27.361586+00
 posix/Africa/Abidjan, 2022-10-06 03:42:27.361806+00
 posix/Africa/Nouakchott, 2022-10-06 03:42:27.362044+00
 posix/Africa/Lagos, 2022-10-06 04:42:27.36228+01
 posix/Africa/Windhoek, 2022-10-06 05:42:27.362499+02
 posix/Africa/Ouagadougou, 2022-10-06 03:42:27.362724+00
 posix/Africa/Kigali, 2022-10-06 05:42:27.362934+02
 posix/Africa/Asmara, 2022-10-06 06:42:27.363143+03
 posix/Africa/Cairo, 2022-10-06 05:42:27.363354+02
 posix/Africa/Asmera, 2022-10-06 06:42:27.36359+03
 posix/Africa/Harare, 2022-10-06 05:42:27.363857+02
 posix/Africa/Tripoli, 2022-10-06 05:42:27.364091+02
 posix/Africa/Ceuta, 2022-10-06 05:42:27.364598+02
 posix/Africa/Nairobi, 2022-10-06 06:42:27.364816+03
 posix/Africa/Monrovia, 2022-10-06 03:42:27.365154+00
 posix/Africa/Dakar, 2022-10-06 03:42:27.365424+00
 posix/Africa/Casablanca, 2022-10-06 04:42:27.365646+01
 posix/Africa/Accra, 2022-10-06 03:42:27.36586+00
 posix/Africa/Lome, 2022-10-06 03:42:27.366077+00
 posix/Africa/Bangui, 2022-10-06 04:42:27.366316+01
 posix/Africa/Addis_Ababa, 2022-10-06 06:42:27.366568+03
 posix/Africa/Khartoum, 2022-10-06 05:42:27.366802+02
 posix/Africa/Tunis, 2022-10-06 04:42:27.367041+01
 posix/Africa/Bamako, 2022-10-06 03:42:27.36728+00
 posix/Africa/Kampala, 2022-10-06 06:42:27.367495+03
 posix/Africa/Maseru, 2022-10-06 05:42:27.367711+02
 posix/Africa/Sao_Tome, 2022-10-06 03:42:27.367924+00
 posix/Africa/Niamey, 2022-10-06 04:42:27.368147+01
 posix/Africa/Freetown, 2022-10-06 03:42:27.368407+00
 posix/Africa/Maputo, 2022-10-06 05:42:27.368621+02
 posix/Africa/Lubumbashi, 2022-10-06 05:42:27.368835+02
 posix/Africa/Bissau, 2022-10-06 03:42:27.369049+00
 posix/Africa/Algiers, 2022-10-06 04:42:27.36931+01
 posix/Africa/Brazzaville, 2022-10-06 04:42:27.369565+01
 posix/Africa/Johannesburg, 2022-10-06 05:42:27.369788+02
 posix/Africa/Blantyre, 2022-10-06 05:42:27.370045+02
 posix/Africa/Conakry, 2022-10-06 03:42:27.370342+00
 posix/Africa/Ndjamena, 2022-10-06 04:42:27.370616+01
 posix/Africa/Juba, 2022-10-06 05:42:27.370839+02
 posix/Africa/Luanda, 2022-10-06 04:42:27.371059+01
 posix/Africa/Malabo, 2022-10-06 04:42:27.371355+01
 posix/Africa/Porto-Novo, 2022-10-06 04:42:27.371618+01
 posix/Africa/Kinshasa, 2022-10-06 04:42:27.37186+01
 posix/Africa/Mogadishu, 2022-10-06 06:42:27.372082+03
 posix/Africa/Djibouti, 2022-10-06 06:42:27.372325+03
 posix/Africa/Douala, 2022-10-06 04:42:27.372535+01
 posix/Africa/Mbabane, 2022-10-06 05:42:27.372753+02
 posix/Etc/GMT-1, 2022-10-06 04:42:27.372969+01
 posix/Etc/GMT-13, 2022-10-06 16:42:27.373188+13
 posix/Etc/GMT-5, 2022-10-06 08:42:27.373406+05
 posix/Etc/GMT-3, 2022-10-06 06:42:27.373756+03
 posix/Etc/GMT+9, 2022-10-05 18:42:27.373991-09
 posix/Etc/GMT-14, 2022-10-06 17:42:27.37422+14
 posix/Etc/GMT+10, 2022-10-05 17:42:27.374451-10
 posix/Etc/GMT-9, 2022-10-06 12:42:27.374677+09
 posix/Etc/GMT+4, 2022-10-05 23:42:27.374889-04
 posix/Etc/GMT-10, 2022-10-06 13:42:27.375111+10
 posix/Etc/GMT+3, 2022-10-06 00:42:27.375361-03
 posix/Etc/GMT0, 2022-10-06 03:42:27.375587+00
 posix/Etc/GMT-8, 2022-10-06 11:42:27.375804+08
 posix/Etc/GMT+7, 2022-10-05 20:42:27.376016-07
 posix/Etc/GMT+8, 2022-10-05 19:42:27.376231-08
 posix/Etc/GMT+12, 2022-10-05 15:42:27.376454-12
 posix/Etc/GMT+5, 2022-10-05 22:42:27.376704-05
 posix/Etc/GMT+0, 2022-10-06 03:42:27.376917+00
 posix/Etc/Greenwich, 2022-10-06 03:42:27.377136+00
 posix/Etc/GMT-12, 2022-10-06 15:42:27.377366+12
 posix/Etc/UCT, 2022-10-06 03:42:27.377574+00
 posix/Etc/GMT, 2022-10-06 03:42:27.377787+00
 posix/Etc/GMT-2, 2022-10-06 05:42:27.377998+02
 posix/Etc/GMT+11, 2022-10-05 16:42:27.378227-11
 posix/Etc/Zulu, 2022-10-06 03:42:27.378446+00
 posix/Etc/GMT-11, 2022-10-06 14:42:27.378654+11
 posix/Etc/GMT-6, 2022-10-06 09:42:27.378865+06
 posix/Etc/GMT+1, 2022-10-06 02:42:27.379076-01
 posix/Etc/UTC, 2022-10-06 03:42:27.379301+00
 posix/Etc/GMT-4, 2022-10-06 07:42:27.379507+04
 posix/Etc/GMT-7, 2022-10-06 10:42:27.379713+07
 posix/Etc/GMT+6, 2022-10-05 21:42:27.379941-06
 posix/Etc/GMT-0, 2022-10-06 03:42:27.380151+00
 posix/Etc/GMT+2, 2022-10-06 01:42:27.3804-02
 posix/Etc/Universal, 2022-10-06 03:42:27.380623+00
 posix/Navajo, 2022-10-05 21:42:27.380866-06
 posix/GMT-0, 2022-10-06 03:42:27.381075+00
 posix/ROC, 2022-10-06 11:42:27.381287+08
 posix/Egypt, 2022-10-06 05:42:27.381525+02
 posix/Universal, 2022-10-06 03:42:27.381728+00
 Eire, 2022-10-06 04:42:27.381971+01
 Portugal, 2022-10-06 04:42:27.382209+01
 ROK, 2022-10-06 12:42:27.382415+09
 W-SU, 2022-10-06 06:42:27.382608+03
 Hongkong, 2022-10-06 11:42:27.382802+08
 MST, 2022-10-05 20:42:27.383-07
 GMT0, 2022-10-06 03:42:27.383209+00
 Poland, 2022-10-06 05:42:27.383447+02
 Antarctica/Mawson, 2022-10-06 08:42:27.383681+05
 Antarctica/Syowa, 2022-10-06 06:42:27.383897+03
 Antarctica/McMurdo, 2022-10-06 16:42:27.384138+13
 Antarctica/Vostok, 2022-10-06 09:42:27.38435+06
 Antarctica/Rothera, 2022-10-06 00:42:27.384551-03
 Antarctica/Macquarie, 2022-10-06 14:42:27.38497+11
 Antarctica/Davis, 2022-10-06 10:42:27.385177+07
 Antarctica/Troll, 2022-10-06 05:42:27.385487+02
 Antarctica/Palmer, 2022-10-06 00:42:27.385702-03
 Antarctica/DumontDUrville, 2022-10-06 13:42:27.385973+10
 Antarctica/Casey, 2022-10-06 14:42:27.386227+11
 Antarctica/South_Pole, 2022-10-06 16:42:27.386527+13
 Europe/Paris, 2022-10-06 05:42:27.386814+02
 Europe/Uzhgorod, 2022-10-06 06:42:27.387105+03
 Europe/Lisbon, 2022-10-06 04:42:27.387386+01
 Europe/Warsaw, 2022-10-06 05:42:27.387634+02
 Europe/Saratov, 2022-10-06 07:42:27.387847+04
 Europe/Berlin, 2022-10-06 05:42:27.388093+02
 Europe/Astrakhan, 2022-10-06 07:42:27.388323+04
 Europe/Vaduz, 2022-10-06 05:42:27.388565+02
 Europe/Rome, 2022-10-06 05:42:27.388808+02
 Europe/Ulyanovsk, 2022-10-06 07:42:27.389017+04
 Europe/Riga, 2022-10-06 06:42:27.389273+03
 Europe/Busingen, 2022-10-06 05:42:27.389513+02
 Europe/Gibraltar, 2022-10-06 05:42:27.389786+02
 Europe/Dublin, 2022-10-06 04:42:27.390034+01
 Europe/Kaliningrad, 2022-10-06 05:42:27.390263+02
 Europe/Kiev, 2022-10-06 06:42:27.390509+03
 Europe/Guernsey, 2022-10-06 04:42:27.390754+01
 Europe/London, 2022-10-06 04:42:27.391002+01
 Europe/Oslo, 2022-10-06 05:42:27.391254+02
 Europe/Athens, 2022-10-06 06:42:27.391705+03
 Europe/Vatican, 2022-10-06 05:42:27.391964+02
 Europe/Madrid, 2022-10-06 05:42:27.392218+02
 Europe/Istanbul, 2022-10-06 06:42:27.39244+03
 Europe/Bucharest, 2022-10-06 06:42:27.392683+03
 Europe/Nicosia, 2022-10-06 06:42:27.392928+03
 Europe/Brussels, 2022-10-06 05:42:27.39318+02
 Europe/Copenhagen, 2022-10-06 05:42:27.393443+02
 Europe/Kyiv, 2022-10-06 06:42:27.393851+03
 Europe/Helsinki, 2022-10-06 06:42:27.394108+03
 Europe/Simferopol, 2022-10-06 06:42:27.394329+03
 Europe/Skopje, 2022-10-06 05:42:27.394574+02
 Europe/San_Marino, 2022-10-06 05:42:27.39482+02
 Europe/Kirov, 2022-10-06 06:42:27.395027+03
 Europe/Zagreb, 2022-10-06 05:42:27.395282+02
 Europe/Jersey, 2022-10-06 04:42:27.39553+01
 Europe/Moscow, 2022-10-06 06:42:27.395737+03
 Europe/Vienna, 2022-10-06 05:42:27.395983+02
 Europe/Monaco, 2022-10-06 05:42:27.396237+02
 Europe/Belgrade, 2022-10-06 05:42:27.396608+02
 Europe/Vilnius, 2022-10-06 06:42:27.39701+03
 Europe/Chisinau, 2022-10-06 06:42:27.397414+03
 Europe/Amsterdam, 2022-10-06 05:42:27.397952+02
 Europe/Mariehamn, 2022-10-06 06:42:27.39848+03
 Europe/Belfast, 2022-10-06 04:42:27.39901+01
 Europe/Stockholm, 2022-10-06 05:42:27.399444+02
 Europe/Ljubljana, 2022-10-06 05:42:27.399748+02
 Europe/Tirane, 2022-10-06 05:42:27.400058+02
 Europe/Andorra, 2022-10-06 05:42:27.400332+02
 Europe/Podgorica, 2022-10-06 05:42:27.4006+02
 Europe/Volgograd, 2022-10-06 06:42:27.400816+03
 Europe/Budapest, 2022-10-06 05:42:27.401066+02
 Europe/Malta, 2022-10-06 05:42:27.401312+02
 Europe/Samara, 2022-10-06 07:42:27.40154+04
 Europe/Tiraspol, 2022-10-06 06:42:27.40211+03
 Europe/Tallinn, 2022-10-06 06:42:27.40256+03
 Europe/Isle_of_Man, 2022-10-06 04:42:27.40297+01
 Europe/Sofia, 2022-10-06 06:42:27.403354+03
 Europe/Zaporozhye, 2022-10-06 06:42:27.403674+03
 Europe/Zurich, 2022-10-06 05:42:27.403976+02
 Europe/Minsk, 2022-10-06 06:42:27.404217+03
 Europe/Luxembourg, 2022-10-06 05:42:27.404492+02
 Europe/Bratislava, 2022-10-06 05:42:27.404742+02
 Europe/Sarajevo, 2022-10-06 05:42:27.405009+02
 Europe/Prague, 2022-10-06 05:42:27.405256+02
 CET, 2022-10-06 05:42:27.405499+02
 Atlantic/Faeroe, 2022-10-06 04:42:27.405762+01
 Atlantic/Stanley, 2022-10-06 00:42:27.405974-03
 Atlantic/Reykjavik, 2022-10-06 03:42:27.406185+00
 Atlantic/Cape_Verde, 2022-10-06 02:42:27.406388-01
 Atlantic/Bermuda, 2022-10-06 00:42:27.406639-03
 Atlantic/St_Helena, 2022-10-06 03:42:27.406848+00
 Atlantic/Jan_Mayen, 2022-10-06 05:42:27.407096+02
 Atlantic/Azores, 2022-10-06 03:42:27.407335+00
 Atlantic/Madeira, 2022-10-06 04:42:27.407584+01
 Atlantic/Faroe, 2022-10-06 04:42:27.407832+01
 Atlantic/Canary, 2022-10-06 04:42:27.408074+01
 Atlantic/South_Georgia, 2022-10-06 01:42:27.408284-02
 PST8PDT, 2022-10-05 20:42:27.408519-07
 MET, 2022-10-06 05:42:27.408759+02
 Kwajalein, 2022-10-06 15:42:27.408963+12
 America/Resolute, 2022-10-05 22:42:27.409237-05
 America/Port-au-Prince, 2022-10-05 23:42:27.409718-04
 America/Ojinaga, 2022-10-05 21:42:27.409989-06
 America/Porto_Acre, 2022-10-05 22:42:27.410224-05
 America/Jamaica, 2022-10-05 22:42:27.410453-05
 America/Goose_Bay, 2022-10-06 00:42:27.410767-03
 America/Boise, 2022-10-05 21:42:27.411026-06
 America/Rosario, 2022-10-06 00:42:27.411247-03
 America/Fort_Nelson, 2022-10-05 20:42:27.411481-07
 America/Tijuana, 2022-10-05 20:42:27.412152-07
 America/North_Dakota/New_Salem, 2022-10-05 22:42:27.412716-05
 America/North_Dakota/Beulah, 2022-10-05 22:42:27.413203-05
 America/North_Dakota/Center, 2022-10-05 22:42:27.413589-05
 America/Cambridge_Bay, 2022-10-05 21:42:27.413947-06
 America/Mexico_City, 2022-10-05 22:42:27.414131-05
 America/Santiago, 2022-10-06 00:42:27.414387-03
 America/Paramaribo, 2022-10-06 00:42:27.414616-03
 America/Cayenne, 2022-10-06 00:42:27.414845-03
 America/Anchorage, 2022-10-05 19:42:27.415104-08
 America/Phoenix, 2022-10-05 20:42:27.415331-07
 America/Panama, 2022-10-05 22:42:27.415561-05
 America/Tegucigalpa, 2022-10-05 21:42:27.415783-06
 America/Kentucky/Monticello, 2022-10-05 23:42:27.416032-04
 America/Kentucky/Louisville, 2022-10-05 23:42:27.416282-04
 America/Chihuahua, 2022-10-05 21:42:27.416541-06
 America/St_Thomas, 2022-10-05 23:42:27.416757-04
 America/Thule, 2022-10-06 00:42:27.417003-03
 America/Matamoros, 2022-10-05 22:42:27.417251-05
 America/Barbados, 2022-10-05 23:42:27.417471-04
 America/Whitehorse, 2022-10-05 20:42:27.417707-07
 America/Guayaquil, 2022-10-05 22:42:27.417926-05
 America/Guadeloupe, 2022-10-05 23:42:27.418141-04
 America/Nome, 2022-10-05 19:42:27.418386-08
 America/Noronha, 2022-10-06 01:42:27.418609-02
 America/Santa_Isabel, 2022-10-05 20:42:27.418855-07
 America/Asuncion, 2022-10-06 00:42:27.419101-03
 America/Atka, 2022-10-05 18:42:27.4194-09
 America/Miquelon, 2022-10-06 01:42:27.419713-02
 America/Curacao, 2022-10-05 23:42:27.419937-04
 America/Antigua, 2022-10-05 23:42:27.420161-04
 America/Tortola, 2022-10-05 23:42:27.420398-04
 America/Indianapolis, 2022-10-05 23:42:27.420698-04
 America/Scoresbysund, 2022-10-06 03:42:27.420971+00
 America/Blanc-Sablon, 2022-10-05 23:42:27.421217-04
 America/Grenada, 2022-10-05 23:42:27.421448-04
 America/Creston, 2022-10-05 20:42:27.421675-07
 America/Winnipeg, 2022-10-05 22:42:27.421935-05
 America/La_Paz, 2022-10-05 23:42:27.422166-04
 America/Bahia_Banderas, 2022-10-05 22:42:27.422419-05
 America/Punta_Arenas, 2022-10-06 00:42:27.422701-03
 America/Puerto_Rico, 2022-10-05 23:42:27.422931-04
 America/St_Kitts, 2022-10-05 23:42:27.423162-04
 America/Sitka, 2022-10-05 19:42:27.423425-08
 America/Anguilla, 2022-10-05 23:42:27.42366-04
 America/Lower_Princes, 2022-10-05 23:42:27.42388-04
 America/Bogota, 2022-10-05 22:42:27.424099-05
 America/Detroit, 2022-10-05 23:42:27.424349-04
