 CST6CDT, 2022-10-05 22:42:27.210427-05
 America/Araguaina, 2022-10-06 00:42:27.424578-03
 America/Montserrat, 2022-10-05 23:42:27.424805-04
 America/Denver, 2022-10-05 21:42:27.425067-06
 America/Aruba, 2022-10-05 23:42:27.425291-04
 America/Marigot, 2022-10-05 23:42:27.425514-04
 America/Ensenada, 2022-10-05 20:42:27.425768-07
 America/Pangnirtung, 2022-10-05 23:42:27.426031-04
 America/Dominica, 2022-10-05 23:42:27.426259-04
 America/Catamarca, 2022-10-06 00:42:27.426497-03
 America/Halifax, 2022-10-06 00:42:27.426751-03
 America/Cordoba, 2022-10-06 00:42:27.42697-03
 America/Metlakatla, 2022-10-05 19:42:27.427219-08
 America/Caracas, 2022-10-05 23:42:27.427447-04
 America/Dawson, 2022-10-05 20:42:27.427738-07
 America/Martinique, 2022-10-05 23:42:27.42796-04
 America/St_Vincent, 2022-10-05 23:42:27.428189-04
 America/Inuvik, 2022-10-05 21:42:27.428454-06
 America/St_Lucia, 2022-10-05 23:42:27.428684-04
 America/Mendoza, 2022-10-06 00:42:27.42891-03
 America/Glace_Bay, 2022-10-06 00:42:27.429175-03
 America/St_Johns, 2022-10-06 01:12:27.429429-02:30
 America/Thunder_Bay, 2022-10-05 23:42:27.429691-04
 America/Toronto, 2022-10-05 23:42:27.429954-04
 America/Santarem, 2022-10-06 00:42:27.430183-03
 America/Dawson_Creek, 2022-10-05 20:42:27.430402-07
 America/Belem, 2022-10-06 00:42:27.430628-03
 America/Hermosillo, 2022-10-05 20:42:27.430854-07
 America/Moncton, 2022-10-06 00:42:27.431111-03
 America/Nassau, 2022-10-05 23:42:27.431375-04
 America/Virgin, 2022-10-05 23:42:27.431591-04
 America/St_Barthelemy, 2022-10-05 23:42:27.431809-04
 America/Louisville, 2022-10-05 23:42:27.432063-04
 America/Chicago, 2022-10-05 22:42:27.432574-05
 America/El_Salvador, 2022-10-05 21:42:27.43283-06
 America/Juneau, 2022-10-05 19:42:27.433097-08
 America/Argentina/Tucuman, 2022-10-06 00:42:27.433372-03
 America/Argentina/San_Luis, 2022-10-06 00:42:27.433612-03
 America/Argentina/Catamarca, 2022-10-06 00:42:27.433838-03
 America/Argentina/Cordoba, 2022-10-06 00:42:27.434062-03
 America/Argentina/Mendoza, 2022-10-06 00:42:27.434284-03
 America/Argentina/Salta, 2022-10-06 00:42:27.434515-03
 America/Argentina/San_Juan, 2022-10-06 00:42:27.43475-03
 America/Argentina/ComodRivadavia, 2022-10-06 00:42:27.434979-03
 America/Argentina/Buenos_Aires, 2022-10-06 00:42:27.435212-03
 America/Argentina/La_Rioja, 2022-10-06 00:42:27.435438-03
 America/Argentina/Rio_Gallegos, 2022-10-06 00:42:27.435668-03
 America/Argentina/Jujuy, 2022-10-06 00:42:27.435942-03
 America/Argentina/Ushuaia, 2022-10-06 00:42:27.436193-03
 America/Shiprock, 2022-10-05 21:42:27.436461-06
 America/Porto_Velho, 2022-10-05 23:42:27.436694-04
 America/Port_of_Spain, 2022-10-05 23:42:27.436925-04
 America/Monterrey, 2022-10-05 22:42:27.437189-05
 America/Rankin_Inlet, 2022-10-05 22:42:27.437451-05
 America/Fort_Wayne, 2022-10-05 23:42:27.437746-04
 America/Lima, 2022-10-05 22:42:27.437973-05
 America/New_York, 2022-10-05 23:42:27.438228-04
 America/Danmarkshavn, 2022-10-06 03:42:27.438449+00
 America/Nuuk, 2022-10-06 01:42:27.438714-02
 America/Montreal, 2022-10-05 23:42:27.438974-04
 America/Maceio, 2022-10-06 00:42:27.439206-03
 America/Guatemala, 2022-10-05 21:42:27.439427-06
 America/Menominee, 2022-10-05 22:42:27.439703-05
 America/Knox_IN, 2022-10-05 22:42:27.439958-05
 America/Rio_Branco, 2022-10-05 22:42:27.440176-05
 America/Manaus, 2022-10-05 23:42:27.440393-04
 America/Iqaluit, 2022-10-05 23:42:27.440667-04
 America/Adak, 2022-10-05 18:42:27.440915-09
 America/Guyana, 2022-10-05 23:42:27.441134-04
 America/Buenos_Aires, 2022-10-06 00:42:27.441355-03
 America/Campo_Grande, 2022-10-05 23:42:27.441587-04
 America/Cancun, 2022-10-05 22:42:27.441812-05
 America/Yellowknife, 2022-10-05 21:42:27.442064-06
 America/Swift_Current, 2022-10-05 21:42:27.442283-06
 America/Sao_Paulo, 2022-10-06 00:42:27.442499-03
 America/Fortaleza, 2022-10-06 00:42:27.442729-03
 America/Bahia, 2022-10-06 00:42:27.442947-03
 America/Kralendijk, 2022-10-05 23:42:27.443166-04
 America/Boa_Vista, 2022-10-05 23:42:27.443381-04
 America/Jujuy, 2022-10-06 00:42:27.443672-03
 America/Havana, 2022-10-05 23:42:27.443934-04
 America/Edmonton, 2022-10-05 21:42:27.444189-06
 America/Atikokan, 2022-10-05 22:42:27.44442-05
 America/Cuiaba, 2022-10-05 23:42:27.44468-04
 America/Grand_Turk, 2022-10-05 23:42:27.444929-04
 America/Costa_Rica, 2022-10-05 21:42:27.445153-06
 America/Rainy_River, 2022-10-05 22:42:27.445418-05
 America/Belize, 2022-10-05 21:42:27.44565-06
 America/Indiana/Indianapolis, 2022-10-05 23:42:27.445909-04
 America/Indiana/Vevay, 2022-10-05 23:42:27.446169-04
 America/Indiana/Petersburg, 2022-10-05 23:42:27.446416-04
 America/Indiana/Tell_City, 2022-10-05 22:42:27.446694-05
 America/Indiana/Winamac, 2022-10-05 23:42:27.446948-04
 America/Indiana/Marengo, 2022-10-05 23:42:27.447211-04
 America/Indiana/Knox, 2022-10-05 22:42:27.447467-05
 America/Indiana/Vincennes, 2022-10-05 23:42:27.447735-04
 America/Santo_Domingo, 2022-10-05 23:42:27.44796-04
 America/Nipigon, 2022-10-05 23:42:27.448214-04
 America/Eirunepe, 2022-10-05 22:42:27.44845-05
 America/Regina, 2022-10-05 21:42:27.448665-06
 America/Recife, 2022-10-06 00:42:27.448878-03
 America/Vancouver, 2022-10-05 20:42:27.449132-07
 America/Cayman, 2022-10-05 22:42:27.44935-05
 America/Mazatlan, 2022-10-05 21:42:27.449633-06
 America/Montevideo, 2022-10-06 00:42:27.449849-03
 America/Yakutat, 2022-10-05 19:42:27.450099-08
 America/Godthab, 2022-10-06 01:42:27.450356-02
 America/Los_Angeles, 2022-10-05 20:42:27.450625-07
 America/Merida, 2022-10-05 22:42:27.450903-05
 America/Coral_Harbour, 2022-10-05 22:42:27.451125-05
 America/Managua, 2022-10-05 21:42:27.451345-06
 Chile/EasterIsland, 2022-10-05 22:42:27.451576-05
 Chile/Continental, 2022-10-06 00:42:27.45181-03
 Israel, 2022-10-06 06:42:27.452046+03
 Arctic/Longyearbyen, 2022-10-06 05:42:27.452286+02
 GB-Eire, 2022-10-06 04:42:27.452619+01
 Japan, 2022-10-06 12:42:27.452856+09
 Brazil/West, 2022-10-05 23:42:27.453077-04
 Brazil/DeNoronha, 2022-10-06 01:42:27.453297-02
 Brazil/Acre, 2022-10-05 22:42:27.45357-05
 Brazil/East, 2022-10-06 00:42:27.453808-03
 Iran, 2022-10-06 07:12:27.454208+03:30
 US/Samoa, 2022-10-05 16:42:27.454472-11
 US/East-Indiana, 2022-10-05 23:42:27.454739-04
 US/Arizona, 2022-10-05 20:42:27.454943-07
 US/Michigan, 2022-10-05 23:42:27.455179-04
 US/Hawaii, 2022-10-05 17:42:27.455383-10
 US/Mountain, 2022-10-05 21:42:27.455656-06
 US/Alaska, 2022-10-05 19:42:27.455895-08
 US/Eastern, 2022-10-05 23:42:27.456132-04
 US/Aleutian, 2022-10-05 18:42:27.456367-09
 US/Indiana-Starke, 2022-10-05 22:42:27.456614-05
 US/Central, 2022-10-05 22:42:27.456853-05
 US/Pacific, 2022-10-05 20:42:27.457089-07
 HST, 2022-10-05 17:42:27.457288-10
 EET, 2022-10-06 06:42:27.457522+03
 Cuba, 2022-10-05 23:42:27.457753-04
 GMT+0, 2022-10-06 03:42:27.457957+00
 Greenwich, 2022-10-06 03:42:27.458155+00
 Mexico/BajaNorte, 2022-10-05 20:42:27.458392-07
 Mexico/BajaSur, 2022-10-05 21:42:27.458763-06
 Mexico/General, 2022-10-05 22:42:27.459008-05
 NZ-CHAT, 2022-10-06 17:27:27.459242+13:45
 UCT, 2022-10-06 03:42:27.459455+00
 GMT, 2022-10-06 03:42:27.45967+00
 posixrules, 2022-10-05 23:42:27.45992-04
 SystemV/CST6CDT, 2022-10-05 22:42:27.460172-05
 SystemV/EST5EDT, 2022-10-05 23:42:27.460428-04
 SystemV/MST7MDT, 2022-10-05 21:42:27.460813-06
 SystemV/CST6, 2022-10-05 21:42:27.461062-06
 SystemV/MST7, 2022-10-05 20:42:27.461277-07
 SystemV/HST10, 2022-10-05 17:42:27.46149-10
 SystemV/PST8PDT, 2022-10-05 20:42:27.461751-07
 SystemV/AST4ADT, 2022-10-06 00:42:27.461992-03
 SystemV/YST9YDT, 2022-10-05 19:42:27.462227-08
 SystemV/YST9, 2022-10-05 18:42:27.462428-09
 SystemV/AST4, 2022-10-05 23:42:27.462647-04
 SystemV/PST8, 2022-10-05 19:42:27.462844-08
 SystemV/EST5, 2022-10-05 22:42:27.463039-05
 Turkey, 2022-10-06 06:42:27.463241+03
 NZ, 2022-10-06 16:42:27.463476+13
 Zulu, 2022-10-06 03:42:27.463756+00
 WET, 2022-10-06 04:42:27.46401+01
 Canada/Newfoundland, 2022-10-06 01:12:27.464259-02:30
 Canada/Yukon, 2022-10-05 20:42:27.464475-07
 Canada/Atlantic, 2022-10-06 00:42:27.464739-03
 Canada/Mountain, 2022-10-05 21:42:27.465037-06
 Canada/Eastern, 2022-10-05 23:42:27.465294-04
 Canada/Saskatchewan, 2022-10-05 21:42:27.465514-06
 Canada/Central, 2022-10-05 22:42:27.465776-05
 Canada/Pacific, 2022-10-05 20:42:27.46602-07
 UTC, 2022-10-06 03:42:27.466218+00
 Singapore, 2022-10-06 11:42:27.466416+08
 Iceland, 2022-10-06 03:42:27.466624+00
 Asia/Tbilisi, 2022-10-06 07:42:27.466844+04
 Asia/Tel_Aviv, 2022-10-06 06:42:27.467113+03
 Asia/Krasnoyarsk, 2022-10-06 10:42:27.467332+07
 Asia/Dushanbe, 2022-10-06 08:42:27.467564+05
 Asia/Taipei, 2022-10-06 11:42:27.46778+08
 Asia/Chongqing, 2022-10-06 11:42:27.467996+08
 Asia/Ho_Chi_Minh, 2022-10-06 10:42:27.468207+07
 Asia/Shanghai, 2022-10-06 11:42:27.468416+08
 Asia/Beirut, 2022-10-06 06:42:27.46867+03
 Asia/Dacca, 2022-10-06 09:42:27.46891+06
 Asia/Saigon, 2022-10-06 10:42:27.46913+07
 Asia/Katmandu, 2022-10-06 09:27:27.469442+05:45
 Asia/Hong_Kong, 2022-10-06 11:42:27.469703+08
 Asia/Pontianak, 2022-10-06 10:42:27.470044+07
 Asia/Harbin, 2022-10-06 11:42:27.470492+08
 Asia/Ashgabat, 2022-10-06 08:42:27.471002+05
 Asia/Phnom_Penh, 2022-10-06 10:42:27.471224+07
 Asia/Dubai, 2022-10-06 07:42:27.471458+04
 Asia/Srednekolymsk, 2022-10-06 14:42:27.471837+11
 Asia/Tehran, 2022-10-06 07:12:27.472066+03:30
 Asia/Novosibirsk, 2022-10-06 10:42:27.472291+07
 Asia/Ust-Nera, 2022-10-06 13:42:27.472523+10
 Asia/Tashkent, 2022-10-06 08:42:27.472738+05
 Asia/Vladivostok, 2022-10-06 13:42:27.47295+10
 Asia/Kamchatka, 2022-10-06 15:42:27.473163+12
 Asia/Jerusalem, 2022-10-06 06:42:27.473414+03
 Asia/Famagusta, 2022-10-06 06:42:27.473708+03
 Asia/Vientiane, 2022-10-06 10:42:27.47392+07
 Asia/Chungking, 2022-10-06 11:42:27.474134+08
 Asia/Damascus, 2022-10-06 06:42:27.474386+03
 Asia/Aqtau, 2022-10-06 08:42:27.474621+05
 Asia/Amman, 2022-10-06 06:42:27.47487+03
 Asia/Magadan, 2022-10-06 14:42:27.475077+11
 Asia/Pyongyang, 2022-10-06 12:42:27.475304+09
 Asia/Kathmandu, 2022-10-06 09:27:27.475546+05:45
 Asia/Gaza, 2022-10-06 06:42:27.476097+03
 Asia/Yakutsk, 2022-10-06 12:42:27.476324+09
 Asia/Jayapura, 2022-10-06 12:42:27.476564+09
 Asia/Kuching, 2022-10-06 11:42:27.476777+08
 Asia/Jakarta, 2022-10-06 10:42:27.476989+07
 Asia/Colombo, 2022-10-06 09:12:27.477202+05:30
 Asia/Aden, 2022-10-06 06:42:27.47741+03
 Asia/Qostanay, 2022-10-06 09:42:27.477633+06
 Asia/Istanbul, 2022-10-06 06:42:27.477846+03
 Asia/Nicosia, 2022-10-06 06:42:27.478089+03
 Asia/Oral, 2022-10-06 08:42:27.478296+05
 Asia/Urumqi, 2022-10-06 09:42:27.478512+06
 Asia/Chita, 2022-10-06 12:42:27.478725+09
 Asia/Barnaul, 2022-10-06 10:42:27.478932+07
 Asia/Macao, 2022-10-06 11:42:27.47914+08
 Asia/Kabul, 2022-10-06 08:12:27.479347+04:30
 Asia/Rangoon, 2022-10-06 10:12:27.479567+06:30
 Asia/Manila, 2022-10-06 11:42:27.479775+08
 Asia/Karachi, 2022-10-06 08:42:27.479982+05
 Asia/Bahrain, 2022-10-06 06:42:27.480196+03
 Asia/Hovd, 2022-10-06 10:42:27.480412+07
 Asia/Samarkand, 2022-10-06 08:42:27.480637+05
 Asia/Yerevan, 2022-10-06 07:42:27.480845+04
 Asia/Yekaterinburg, 2022-10-06 08:42:27.481052+05
 Asia/Khandyga, 2022-10-06 12:42:27.481259+09
 Asia/Calcutta, 2022-10-06 09:12:27.481478+05:30
 Asia/Tokyo, 2022-10-06 12:42:27.481688+09
 Asia/Almaty, 2022-10-06 09:42:27.481895+06
 Asia/Anadyr, 2022-10-06 15:42:27.482104+12
 Asia/Novokuznetsk, 2022-10-06 10:42:27.482311+07
 Asia/Thimbu, 2022-10-06 09:42:27.482537+06
 Asia/Macau, 2022-10-06 11:42:27.48275+08
 Asia/Ulan_Bator, 2022-10-06 11:42:27.482971+08
 Asia/Bangkok, 2022-10-06 10:42:27.483179+07
 Asia/Thimphu, 2022-10-06 09:42:27.483386+06
 Asia/Tomsk, 2022-10-06 10:42:27.483605+07
 Asia/Kolkata, 2022-10-06 09:12:27.483814+05:30
 Asia/Hebron, 2022-10-06 06:42:27.484057+03
 Asia/Dhaka, 2022-10-06 09:42:27.484264+06
 Asia/Aqtobe, 2022-10-06 08:42:27.484485+05
 Asia/Bishkek, 2022-10-06 09:42:27.484698+06
 Asia/Ashkhabad, 2022-10-06 08:42:27.484906+05
 Asia/Kuwait, 2022-10-06 06:42:27.485113+03
 Asia/Ujung_Pandang, 2022-10-06 11:42:27.485356+08
 Asia/Irkutsk, 2022-10-06 11:42:27.485583+08
 Asia/Makassar, 2022-10-06 11:42:27.485795+08
 Asia/Qatar, 2022-10-06 06:42:27.486089+03
 Asia/Sakhalin, 2022-10-06 14:42:27.486805+11
 Asia/Seoul, 2022-10-06 12:42:27.487196+09
 Asia/Omsk, 2022-10-06 09:42:27.487449+06
 Asia/Baku, 2022-10-06 07:42:27.487692+04
 Asia/Brunei, 2022-10-06 11:42:27.487908+08
 Asia/Atyrau, 2022-10-06 08:42:27.488122+05
 Asia/Ulaanbaatar, 2022-10-06 11:42:27.488339+08
 Asia/Singapore, 2022-10-06 11:42:27.488588+08
 Asia/Yangon, 2022-10-06 10:12:27.488803+06:30
 Asia/Baghdad, 2022-10-06 06:42:27.489021+03
 Asia/Kashgar, 2022-10-06 09:42:27.489237+06
 Asia/Qyzylorda, 2022-10-06 08:42:27.489455+05
 Asia/Choibalsan, 2022-10-06 11:42:27.489681+08
 Asia/Riyadh, 2022-10-06 06:42:27.489893+03
 Asia/Kuala_Lumpur, 2022-10-06 11:42:27.490106+08
 Asia/Muscat, 2022-10-06 07:42:27.490319+04
 Asia/Dili, 2022-10-06 12:42:27.490546+09
 Pacific/Noumea, 2022-10-06 14:42:27.490758+11
 Pacific/Samoa, 2022-10-05 16:42:27.490961-11
 Pacific/Johnston, 2022-10-05 17:42:27.491168-10
 Pacific/Efate, 2022-10-06 14:42:27.491374+11
 Pacific/Pohnpei, 2022-10-06 14:42:27.491621+11
 Pacific/Palau, 2022-10-06 12:42:27.492103+09
 Pacific/Guadalcanal, 2022-10-06 14:42:27.492526+11
 Pacific/Majuro, 2022-10-06 15:42:27.492975+12
 Pacific/Nauru, 2022-10-06 15:42:27.493366+12
 Pacific/Kiritimati, 2022-10-06 17:42:27.493986+14
 Pacific/Tarawa, 2022-10-06 15:42:27.494406+12
 Pacific/Rarotonga, 2022-10-05 17:42:27.494657-10
 Pacific/Bougainville, 2022-10-06 14:42:27.494864+11
 Pacific/Gambier, 2022-10-05 18:42:27.495066-09
 Pacific/Kwajalein, 2022-10-06 15:42:27.495269+12
 Pacific/Fakaofo, 2022-10-06 16:42:27.495471+13
 Pacific/Easter, 2022-10-05 22:42:27.495705-05
 Pacific/Midway, 2022-10-05 16:42:27.495902-11
 Pacific/Enderbury, 2022-10-06 16:42:27.496101+13
 Pacific/Kanton, 2022-10-06 16:42:27.496299+13
 Pacific/Niue, 2022-10-05 16:42:27.496498-11
 Pacific/Truk, 2022-10-06 13:42:27.496697+10
 Pacific/Apia, 2022-10-06 16:42:27.497152+13
 Pacific/Wallis, 2022-10-06 15:42:27.497354+12
 Pacific/Saipan, 2022-10-06 13:42:27.497559+10
 Pacific/Auckland, 2022-10-06 16:42:27.497792+13
 Pacific/Norfolk, 2022-10-06 15:42:27.498018+12
 Pacific/Marquesas, 2022-10-05 18:12:27.498217-09:30
 Pacific/Tongatapu, 2022-10-06 16:42:27.498418+13
 Pacific/Chuuk, 2022-10-06 13:42:27.498616+10
 Pacific/Yap, 2022-10-06 13:42:27.498813+10
 Pacific/Chatham, 2022-10-06 17:27:27.499044+13:45
 Pacific/Ponape, 2022-10-06 14:42:27.499266+11
 Pacific/Fiji, 2022-10-06 15:42:27.499506+12
 Pacific/Pitcairn, 2022-10-05 19:42:27.499706-08
 Pacific/Wake, 2022-10-06 15:42:27.499903+12
 Pacific/Guam, 2022-10-06 13:42:27.500102+10
 Pacific/Galapagos, 2022-10-05 21:42:27.500301-06
 Pacific/Port_Moresby, 2022-10-06 13:42:27.500501+10
 Pacific/Funafuti, 2022-10-06 15:42:27.500699+12
 Pacific/Tahiti, 2022-10-05 17:42:27.500897-10
 Pacific/Honolulu, 2022-10-05 17:42:27.501095-10
 Pacific/Pago_Pago, 2022-10-05 16:42:27.501292-11
 Pacific/Kosrae, 2022-10-06 14:42:27.501497+11
 Factory, 2022-10-06 03:42:27.501687+00
 Australia/South, 2022-10-06 14:12:27.501917+10:30
 Australia/Adelaide, 2022-10-06 14:12:27.502144+10:30
 Australia/Broken_Hill, 2022-10-06 14:12:27.502372+10:30
 Australia/NSW, 2022-10-06 14:42:27.502646+11
 Australia/Currie, 2022-10-06 14:42:27.502943+11
 Australia/Hobart, 2022-10-06 14:42:27.503195+11
 Australia/Melbourne, 2022-10-06 14:42:27.503447+11
 Australia/Darwin, 2022-10-06 13:12:27.503717+09:30
 Australia/West, 2022-10-06 11:42:27.50395+08
 Australia/Sydney, 2022-10-06 14:42:27.504207+11
 Australia/Lord_Howe, 2022-10-06 14:42:27.504445+11
 Australia/ACT, 2022-10-06 14:42:27.504682+11
 Australia/Eucla, 2022-10-06 12:27:27.504886+08:45
 Australia/Yancowinna, 2022-10-06 14:12:27.505121+10:30
 Australia/Victoria, 2022-10-06 14:42:27.505358+11
 Australia/LHI, 2022-10-06 14:42:27.505652+11
 Australia/Canberra, 2022-10-06 14:42:27.505913+11
 Australia/North, 2022-10-06 13:12:27.506174+09:30
 Australia/Perth, 2022-10-06 11:42:27.506389+08
 Australia/Tasmania, 2022-10-06 14:42:27.506636+11
 Australia/Brisbane, 2022-10-06 13:42:27.506889+10
 Australia/Queensland, 2022-10-06 13:42:27.507105+10
 Australia/Lindeman, 2022-10-06 13:42:27.507316+10
 Libya, 2022-10-06 05:42:27.5078+02
 Africa/Dar_es_Salaam, 2022-10-06 06:42:27.508072+03
 Africa/Lusaka, 2022-10-06 05:42:27.508296+02
 Africa/Bujumbura, 2022-10-06 05:42:27.508514+02
 Africa/Gaborone, 2022-10-06 05:42:27.508733+02
 Africa/Timbuktu, 2022-10-06 03:42:27.508955+00
 Africa/El_Aaiun, 2022-10-06 04:42:27.509169+01
 Africa/Libreville, 2022-10-06 04:42:27.509386+01
 Africa/Banjul, 2022-10-06 03:42:27.509601+00
 Africa/Abidjan, 2022-10-06 03:42:27.509811+00
 Africa/Nouakchott, 2022-10-06 03:42:27.510019+00
 Africa/Lagos, 2022-10-06 04:42:27.510223+01
 Africa/Windhoek, 2022-10-06 05:42:27.510433+02
 Africa/Ouagadougou, 2022-10-06 03:42:27.51064+00
 Africa/Kigali, 2022-10-06 05:42:27.510865+02
 Africa/Asmara, 2022-10-06 06:42:27.511087+03
 Africa/Cairo, 2022-10-06 05:42:27.511346+02
 Africa/Asmera, 2022-10-06 06:42:27.511556+03
 Africa/Harare, 2022-10-06 05:42:27.511763+02
 Africa/Tripoli, 2022-10-06 05:42:27.511982+02
 Africa/Ceuta, 2022-10-06 05:42:27.512228+02
 Africa/Nairobi, 2022-10-06 06:42:27.512432+03
 Africa/Monrovia, 2022-10-06 03:42:27.512641+00
 Africa/Dakar, 2022-10-06 03:42:27.512848+00
 Africa/Casablanca, 2022-10-06 04:42:27.513057+01
 Africa/Accra, 2022-10-06 03:42:27.513266+00
 Africa/Lome, 2022-10-06 03:42:27.513473+00
 Africa/Bangui, 2022-10-06 04:42:27.51372+01
 Africa/Addis_Ababa, 2022-10-06 06:42:27.51394+03
 Africa/Khartoum, 2022-10-06 05:42:27.514144+02
 Africa/Tunis, 2022-10-06 04:42:27.514347+01
 Africa/Bamako, 2022-10-06 03:42:27.514549+00
 Africa/Kampala, 2022-10-06 06:42:27.514751+03
 Africa/Maseru, 2022-10-06 05:42:27.514959+02
 Africa/Sao_Tome, 2022-10-06 03:42:27.515173+00
 Africa/Niamey, 2022-10-06 04:42:27.51538+01
 Africa/Freetown, 2022-10-06 03:42:27.515586+00
 Africa/Maputo, 2022-10-06 05:42:27.515793+02
 Africa/Lubumbashi, 2022-10-06 05:42:27.516002+02
 Africa/Bissau, 2022-10-06 03:42:27.516207+00
 Africa/Algiers, 2022-10-06 04:42:27.516673+01
 Africa/Brazzaville, 2022-10-06 04:42:27.516895+01
 Africa/Johannesburg, 2022-10-06 05:42:27.517105+02
 Africa/Blantyre, 2022-10-06 05:42:27.517319+02
 Africa/Conakry, 2022-10-06 03:42:27.517523+00
 Africa/Ndjamena, 2022-10-06 04:42:27.517725+01
 Africa/Juba, 2022-10-06 05:42:27.517954+02
 Africa/Luanda, 2022-10-06 04:42:27.518156+01
 Africa/Malabo, 2022-10-06 04:42:27.518363+01
 Africa/Porto-Novo, 2022-10-06 04:42:27.518567+01
 Africa/Kinshasa, 2022-10-06 04:42:27.518773+01
 Africa/Mogadishu, 2022-10-06 06:42:27.518984+03
 Africa/Djibouti, 2022-10-06 06:42:27.5192+03
 Africa/Douala, 2022-10-06 04:42:27.519488+01
 Africa/Mbabane, 2022-10-06 05:42:27.519788+02
 Etc/GMT-1, 2022-10-06 04:42:27.52004+01
 Etc/GMT-13, 2022-10-06 16:42:27.520282+13
 Etc/GMT-5, 2022-10-06 08:42:27.520517+05
 Etc/GMT-3, 2022-10-06 06:42:27.52074+03
 Etc/GMT+9, 2022-10-05 18:42:27.520951-09
 Etc/GMT-14, 2022-10-06 17:42:27.521158+14
 Etc/GMT+10, 2022-10-05 17:42:27.521363-10
 Etc/GMT-9, 2022-10-06 12:42:27.521564+09
 Etc/GMT+4, 2022-10-05 23:42:27.52177-04
 Etc/GMT-10, 2022-10-06 13:42:27.522042+10
 Etc/GMT+3, 2022-10-06 00:42:27.522258-03
 Etc/GMT0, 2022-10-06 03:42:27.522474+00
 Etc/GMT-8, 2022-10-06 11:42:27.52269+08
 Etc/GMT+7, 2022-10-05 20:42:27.522946-07
 Etc/GMT+8, 2022-10-05 19:42:27.523194-08
 Etc/GMT+12, 2022-10-05 15:42:27.523434-12
 Etc/GMT+5, 2022-10-05 22:42:27.523653-05
 Etc/GMT+0, 2022-10-06 03:42:27.523884+00
 Etc/Greenwich, 2022-10-06 03:42:27.524096+00
 Etc/GMT-12, 2022-10-06 15:42:27.524306+12
 Etc/UCT, 2022-10-06 03:42:27.52454+00
 Etc/GMT, 2022-10-06 03:42:27.524782+00
 Etc/GMT-2, 2022-10-06 05:42:27.524997+02
 Etc/GMT+11, 2022-10-05 16:42:27.525208-11
 Etc/Zulu, 2022-10-06 03:42:27.525424+00
 Etc/GMT-11, 2022-10-06 14:42:27.525634+11
 Etc/GMT-6, 2022-10-06 09:42:27.525846+06
 Etc/GMT+1, 2022-10-06 02:42:27.526082-01
 Etc/UTC, 2022-10-06 03:42:27.526372+00
 Etc/GMT-4, 2022-10-06 07:42:27.526609+04
 Etc/GMT-7, 2022-10-06 10:42:27.526825+07
 Etc/GMT+6, 2022-10-05 21:42:27.527029-06
 Etc/GMT-0, 2022-10-06 03:42:27.527232+00
 Etc/GMT+2, 2022-10-06 01:42:27.527434-02
 Etc/Universal, 2022-10-06 03:42:27.527637+00
 Navajo, 2022-10-05 21:42:27.527879-06
 GMT-0, 2022-10-06 03:42:27.528073+00
 ROC, 2022-10-06 11:42:27.528266+08
 Egypt, 2022-10-06 05:42:27.52846+02
 Universal, 2022-10-06 03:42:27.528678+00
